space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
718143.4147016706,2678400.0,0.268,8662/1662/2
522683.55579952267,2419200.0,0.216,8662/1662/2
404030.0092124105,2678400.0,0.151,8662/1662/2
287115.9431026253,2592000.0,0.111,8662/1662/2
167038.68200477326,2678400.0,0.062,8662/1662/2
18833.20496420048,2592000.0,0.007,8662/1662/2
11132.658042959425,2678400.0,0.004,8662/1662/2
18009.305441527446,2678400.0,0.007,8662/1662/2
125814.58066825774,2592000.0,0.049,8662/1662/2
272774.88214797137,2678400.0,0.102,8662/1662/2
498907.2398090692,2592000.0,0.192,8662/1662/2
608276.9916945108,2678400.0,0.227,8662/1662/2
