space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
1006795.3510739859,2678400.0,0.376,8662/1576/0
707204.6849642005,2419200.0,0.292,8662/1576/0
539700.2935560859,2678400.0,0.202,8662/1576/0
324393.64968973753,2592000.0,0.125,8662/1576/0
249727.04677804292,2678400.0,0.093,8662/1576/0
11951.633126491648,2592000.0,0.005,8662/1576/0
11371.375417661096,2678400.0,0.004,8662/1576/0
18397.964964200477,2678400.0,0.007,8662/1576/0
153958.71307875894,2592000.0,0.059,8662/1576/0
339320.5126968974,2678400.0,0.127,8662/1576/0
692106.5517422435,2592000.0,0.267,8662/1576/0
807289.8340811456,2678400.0,0.301,8662/1576/0
