space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
345214.0984725537,2678400.0,0.129,8662/1573/10
233716.52878281623,2419200.0,0.097,8662/1573/10
182009.55952267302,2678400.0,0.068,8662/1573/10
109735.06124105012,2592000.0,0.042,8662/1573/10
87631.71422434368,2678400.0,0.033,8662/1573/10
8059.278329355609,2592000.0,0.003,8662/1573/10
5628.9909307875905,2678400.0,0.002,8662/1573/10
10575.460525059667,2678400.0,0.004,8662/1573/10
53534.98138424821,2592000.0,0.021,8662/1573/10
116671.06224343675,2678400.0,0.044,8662/1573/10
220411.3076849642,2592000.0,0.085,8662/1573/10
277492.90210023866,2678400.0,0.104,8662/1573/10
