space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
364793.5241527446,2678400.0,0.136,8662/1578/11
250331.29775656323,2419200.0,0.103,8662/1578/11
194492.43279236276,2678400.0,0.073,8662/1578/11
117354.10295942721,2592000.0,0.045,8662/1578/11
95860.3553699284,2678400.0,0.036,8662/1578/11
6192.209642004773,2592000.0,0.002,8662/1578/11
4821.074892601432,2678400.0,0.002,8662/1578/11
8762.506539379476,2678400.0,0.003,8662/1578/11
59644.34291169451,2592000.0,0.023,8662/1578/11
131575.94377088305,2678400.0,0.049,8662/1578/11
246464.78949880667,2592000.0,0.095,8662/1578/11
288867.83971360384,2678400.0,0.108,8662/1578/11
