space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
1296567.6044391408,2678400.0,0.484,8662/1668/2
921355.9002386635,2419200.0,0.381,8662/1668/2
661510.1491646778,2678400.0,0.247,8662/1668/2
404108.0978520286,2592000.0,0.156,8662/1668/2
190457.08109785206,2678400.0,0.071,8662/1668/2
16508.966348448692,2592000.0,0.006,8662/1668/2
10497.404105011934,2678400.0,0.004,8662/1668/2
18563.425346062053,2678400.0,0.007,8662/1668/2
152308.17794749406,2592000.0,0.059,8662/1668/2
423725.04,2678400.0,0.158,8662/1668/2
874498.9248687351,2592000.0,0.337,8662/1668/2
1036707.5800954654,2678400.0,0.387,8662/1668/2
