space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
461123.406300716,2678400.0,0.172,8662/1667/1
323117.27785202867,2419200.0,0.134,8662/1667/1
242486.13393794748,2678400.0,0.091,8662/1667/1
156966.02849642004,2592000.0,0.061,8662/1667/1
112768.13169451074,2678400.0,0.042,8662/1667/1
2912.776754176611,2592000.0,0.001,8662/1667/1
5492.885155131265,2678400.0,0.002,8662/1667/1
5012.599618138424,2678400.0,0.002,8662/1667/1
67569.20119331742,2592000.0,0.026,8662/1667/1
149430.13904534606,2678400.0,0.056,8662/1667/1
304472.9620525059,2592000.0,0.117,8662/1667/1
356079.97718377085,2678400.0,0.133,8662/1667/1
