space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
297903.44835322193,2678400.0,0.111,8662/1660/2
205088.06663484487,2419200.0,0.085,8662/1660/2
158126.26940334128,2678400.0,0.059,8662/1660/2
97936.0367541766,2592000.0,0.038,8662/1660/2
64382.60835322195,2678400.0,0.024,8662/1660/2
1535.5550835322194,2592000.0,0.001,8662/1660/2
1836.9008591885442,2678400.0,0.001,8662/1660/2
2660.2810023866346,2678400.0,0.001,8662/1660/2
37849.30238663484,2592000.0,0.015,8662/1660/2
95033.44911694512,2678400.0,0.035,8662/1660/2
195699.69494033413,2592000.0,0.076,8662/1660/2
231144.12085918855,2678400.0,0.086,8662/1660/2
