space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
1492318.2733174225,2678400.0,0.557,8662/1578/20
1061498.4104534606,2419200.0,0.439,8662/1578/20
827891.2696897375,2678400.0,0.309,8662/1578/20
516790.25613365154,2592000.0,0.199,8662/1578/20
295147.1697852029,2678400.0,0.11,8662/1578/20
10497.282959427208,2592000.0,0.004,8662/1578/20
11824.709928400956,2678400.0,0.004,8662/1578/20
17025.98477326969,2678400.0,0.006,8662/1578/20
203304.90801909307,2592000.0,0.078,8662/1578/20
516646.2862052506,2678400.0,0.193,8662/1578/20
1004563.2114558475,2592000.0,0.388,8662/1578/20
1185138.260334129,2678400.0,0.442,8662/1578/20
