space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
710901.1744152744,2678400.0,0.265,8662/1662/3
514191.1742720764,2419200.0,0.213,8662/1662/3
412615.91899761336,2678400.0,0.154,8662/1662/3
239231.87742243437,2592000.0,0.092,8662/1662/3
181338.0843436754,2678400.0,0.068,8662/1662/3
16962.848591885446,2592000.0,0.007,8662/1662/3
11758.021861575178,2678400.0,0.004,8662/1662/3
22581.79474940334,2678400.0,0.008,8662/1662/3
125058.72501193317,2592000.0,0.048,8662/1662/3
270343.74801909307,2678400.0,0.101,8662/1662/3
497867.47303102614,2592000.0,0.192,8662/1662/3
594848.9521718377,2678400.0,0.222,8662/1662/3
