space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
371846.082673031,2678400.0,0.139,8662/1573/9
251855.21770883055,2419200.0,0.104,8662/1573/9
181696.26415274464,2678400.0,0.068,8662/1573/9
108993.47756563246,2592000.0,0.042,8662/1573/9
72601.40062052506,2678400.0,0.027,8662/1573/9
782.5901670644391,2592000.0,0.0,8662/1573/9
2821.962673031026,2678400.0,0.001,8662/1573/9
3596.9735083532214,2678400.0,0.001,8662/1573/9
43692.86019093079,2592000.0,0.017,8662/1573/9
101811.12701670645,2678400.0,0.038,8662/1573/9
232742.9783770883,2592000.0,0.09,8662/1573/9
279353.2639618138,2678400.0,0.104,8662/1573/9
