space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
612915.9499761336,2678400.0,0.229,8662/1665/5
422274.5123627685,2419200.0,0.175,8662/1665/5
310143.55489260145,2678400.0,0.116,8662/1665/5
176388.8670644391,2592000.0,0.068,8662/1665/5
94547.58572792362,2678400.0,0.035,8662/1665/5
8358.016897374702,2592000.0,0.003,8662/1665/5
5654.383818615751,2678400.0,0.002,8662/1665/5
6851.385966587112,2678400.0,0.003,8662/1665/5
78633.91331742244,2592000.0,0.03,8662/1665/5
183438.3247732697,2678400.0,0.068,8662/1665/5
407544.0495465394,2592000.0,0.157,8662/1665/5
474471.35828162293,2678400.0,0.177,8662/1665/5
