space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
736062.2720763723,2678400.0,0.275,8662/1667/2
544131.4265871121,2419200.0,0.225,8662/1667/2
418397.512124105,2678400.0,0.156,8662/1667/2
265273.83622911695,2592000.0,0.102,8662/1667/2
191304.50735083534,2678400.0,0.071,8662/1667/2
15810.43059665871,2592000.0,0.006,8662/1667/2
12361.017565632459,2678400.0,0.005,8662/1667/2
20433.236563245824,2678400.0,0.008,8662/1667/2
124341.27894988067,2592000.0,0.048,8662/1667/2
266004.1997613365,2678400.0,0.099,8662/1667/2
496400.5662529833,2592000.0,0.192,8662/1667/2
621110.9603341289,2678400.0,0.232,8662/1667/2
