space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
1376448.43575179,2678400.0,0.514,8662/1578/17
970619.7677326968,2419200.0,0.401,8662/1578/17
787392.0068735083,2678400.0,0.294,8662/1578/17
453869.9123627685,2592000.0,0.175,8662/1578/17
230520.11670644395,2678400.0,0.086,8662/1578/17
22388.902625298328,2592000.0,0.009,8662/1578/17
15291.114272076373,2678400.0,0.006,8662/1578/17
32031.25346062052,2678400.0,0.012,8662/1578/17
207839.7197613365,2592000.0,0.08,8662/1578/17
510505.5879236277,2678400.0,0.191,8662/1578/17
908055.5894033413,2592000.0,0.35,8662/1578/17
1122399.1645346063,2678400.0,0.419,8662/1578/17
