space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
795238.9840095466,2678400.0,0.297,8662/1665/4
556374.2112171837,2419200.0,0.23,8662/1665/4
428368.4136515513,2678400.0,0.16,8662/1665/4
269324.83374701673,2592000.0,0.104,8662/1665/4
192137.2479236277,2678400.0,0.072,8662/1665/4
20196.457517899762,2592000.0,0.008,8662/1665/4
16231.067398568019,2678400.0,0.006,8662/1665/4
22045.976849642007,2678400.0,0.008,8662/1665/4
137577.8891169451,2592000.0,0.053,8662/1665/4
300172.780954654,2678400.0,0.112,8662/1665/4
535365.8991408114,2592000.0,0.207,8662/1665/4
644923.8519809069,2678400.0,0.241,8662/1665/4
