space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
559501.5058711218,2678400.0,0.209,8662/1569/10
406746.93479713605,2419200.0,0.168,8662/1569/10
322045.880477327,2678400.0,0.12,8662/1569/10
195757.49813842482,2592000.0,0.076,8662/1569/10
138900.04238663486,2678400.0,0.052,8662/1569/10
13023.53570405728,2592000.0,0.005,8662/1569/10
9702.054988066824,2678400.0,0.004,8662/1569/10
13823.46,2678400.0,0.005,8662/1569/10
103482.30844868733,2592000.0,0.04,8662/1569/10
218401.7382816229,2678400.0,0.082,8662/1569/10
381667.59622911696,2592000.0,0.147,8662/1569/10
461441.57455847255,2678400.0,0.172,8662/1569/10
