space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
462445.3739856801,2678400.0,0.173,8662/1664/4
329589.65470167063,2419200.0,0.136,8662/1664/4
248697.90085918855,2678400.0,0.093,8662/1664/4
152490.70568019093,2592000.0,0.059,8662/1664/4
114471.69637231504,2678400.0,0.043,8662/1664/4
7322.3987112171835,2592000.0,0.003,8662/1664/4
6016.0807159904525,2678400.0,0.002,8662/1664/4
14046.92076372315,2678400.0,0.005,8662/1664/4
72100.18267303103,2592000.0,0.028,8662/1664/4
154414.13799522672,2678400.0,0.058,8662/1664/4
311330.6862529832,2592000.0,0.12,8662/1664/4
367290.7393317422,2678400.0,0.137,8662/1664/4
