space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
498870.64997613366,2678400.0,0.186,8662/1575/8
347147.0987112172,2419200.0,0.143,8662/1575/8
268020.3045823389,2678400.0,0.1,8662/1575/8
169257.78945107397,2592000.0,0.065,8662/1575/8
114800.32568019093,2678400.0,0.043,8662/1575/8
4461.46324582339,2592000.0,0.002,8662/1575/8
2914.6712649164683,2678400.0,0.001,8662/1575/8
7247.010071599046,2678400.0,0.003,8662/1575/8
71434.97613365155,2592000.0,0.028,8662/1575/8
166064.2384725537,2678400.0,0.062,8662/1575/8
332324.66964200477,2592000.0,0.128,8662/1575/8
388234.97312649165,2678400.0,0.145,8662/1575/8
