space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
187848.8475894988,2678400.0,0.07,8662/1578/19
167029.4543198091,2419200.0,0.069,8662/1578/19
152285.61651551313,2678400.0,0.057,8662/1578/19
100034.5553699284,2592000.0,0.039,8662/1578/19
52176.2692124105,2678400.0,0.019,8662/1578/19
4029.196467780429,2592000.0,0.002,8662/1578/19
3634.6304534606206,2678400.0,0.001,8662/1578/19
4313.244200477327,2678400.0,0.002,8662/1578/19
41659.510167064436,2592000.0,0.016,8662/1578/19
93253.00210023868,2678400.0,0.035,8662/1578/19
129495.32634844868,2592000.0,0.05,8662/1578/19
180163.90396181383,2678400.0,0.067,8662/1578/19
