space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
681140.3799522672,2678400.0,0.254,8662/1578/4
482263.0273031026,2419200.0,0.199,8662/1578/4
385331.7862052506,2678400.0,0.144,8662/1578/4
236823.98262529832,2592000.0,0.091,8662/1578/4
157625.63785202865,2678400.0,0.059,8662/1578/4
20449.954653937948,2592000.0,0.008,8662/1578/4
9147.790739856802,2678400.0,0.003,8662/1578/4
20975.534463007156,2678400.0,0.008,8662/1578/4
121179.77613365157,2592000.0,0.047,8662/1578/4
263978.1352267303,2678400.0,0.099,8662/1578/4
471001.2280668258,2592000.0,0.182,8662/1578/4
555840.689928401,2678400.0,0.208,8662/1578/4
