space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
1165766.8931742243,2678400.0,0.435,8662/1580/0
827010.0463961813,2419200.0,0.342,8662/1580/0
617480.7323627685,2678400.0,0.231,8662/1580/0
368010.3273508354,2592000.0,0.142,8662/1580/0
185683.77751789975,2678400.0,0.069,8662/1580/0
14640.121718377088,2592000.0,0.006,8662/1580/0
10669.76076372315,2678400.0,0.004,8662/1580/0
20710.304248210025,2678400.0,0.008,8662/1580/0
144703.96109785206,2592000.0,0.056,8662/1580/0
374606.22501193313,2678400.0,0.14,8662/1580/0
753713.5884486872,2592000.0,0.291,8662/1580/0
921728.1097374702,2678400.0,0.344,8662/1580/0
