space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
462770.1472553698,2678400.0,0.173,8662/1660/8
319858.0749880668,2419200.0,0.132,8662/1660/8
242850.3168973747,2678400.0,0.091,8662/1660/8
144679.12238663484,2592000.0,0.056,8662/1660/8
107401.42095465394,2678400.0,0.04,8662/1660/8
6576.886825775657,2592000.0,0.003,8662/1660/8
6340.661957040574,2678400.0,0.002,8662/1660/8
6781.888353221957,2678400.0,0.003,8662/1660/8
70056.5971360382,2592000.0,0.027,8662/1660/8
153570.9595704057,2678400.0,0.057,8662/1660/8
311008.4725059666,2592000.0,0.12,8662/1660/8
366527.8842959428,2678400.0,0.137,8662/1660/8
