space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
581231.0208114558,2678400.0,0.217,8662/1669/0
402069.2846778043,2419200.0,0.166,8662/1669/0
311239.5602863962,2678400.0,0.116,8662/1669/0
198602.00806682577,2592000.0,0.077,8662/1669/0
131604.72357995226,2678400.0,0.049,8662/1669/0
2282.9640572792364,2592000.0,0.001,8662/1669/0
3894.580525059666,2678400.0,0.001,8662/1669/0
8935.494701670643,2678400.0,0.003,8662/1669/0
83432.03756563245,2592000.0,0.032,8662/1669/0
186471.90429594275,2678400.0,0.07,8662/1669/0
391357.2840572793,2592000.0,0.151,8662/1669/0
455071.7306921241,2678400.0,0.17,8662/1669/0
