space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
387974.74467780435,2678400.0,0.145,8662/1573/8
282135.0797613365,2419200.0,0.117,8662/1573/8
200256.43403341292,2678400.0,0.075,8662/1573/8
127568.26353221957,2592000.0,0.049,8662/1573/8
79331.3046300716,2678400.0,0.03,8662/1573/8
4833.994940334129,2592000.0,0.002,8662/1573/8
5190.05985680191,2678400.0,0.002,8662/1573/8
10398.307016706443,2678400.0,0.004,8662/1573/8
61735.71651551313,2592000.0,0.024,8662/1573/8
142357.9704057279,2678400.0,0.053,8662/1573/8
266958.93651551317,2592000.0,0.103,8662/1573/8
332841.70868735085,2678400.0,0.124,8662/1573/8
