space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
766663.8929355609,2678400.0,0.286,8662/1668/4
564306.9156085919,2419200.0,0.233,8662/1668/4
424045.2355131265,2678400.0,0.158,8662/1668/4
256079.25107398568,2592000.0,0.099,8662/1668/4
194416.70262529835,2678400.0,0.073,8662/1668/4
13576.980286396181,2592000.0,0.005,8662/1668/4
10821.419570405726,2678400.0,0.004,8662/1668/4
14048.469880668257,2678400.0,0.005,8662/1668/4
135164.01565632457,2592000.0,0.052,8662/1668/4
275779.91384248214,2678400.0,0.103,8662/1668/4
530768.335274463,2592000.0,0.205,8662/1668/4
627623.8462052505,2678400.0,0.234,8662/1668/4
