space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
2783264.0795226735,2678400.0,1.039,8662/1578/29
1989482.7926491646,2419200.0,0.822,8662/1578/29
1535169.2335560857,2678400.0,0.573,8662/1578/29
907399.7149403341,2592000.0,0.35,8662/1578/29
422983.77980906924,2678400.0,0.158,8662/1578/29
20794.96825775656,2592000.0,0.008,8662/1578/29
18450.36042959427,2678400.0,0.007,8662/1578/29
31091.36863961814,2678400.0,0.012,8662/1578/29
312375.37102625304,2592000.0,0.121,8662/1578/29
906595.4770883053,2678400.0,0.338,8662/1578/29
1826438.346300716,2592000.0,0.705,8662/1578/29
2225631.2120763725,2678400.0,0.831,8662/1578/29
