space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
1018954.2720286396,2678400.0,0.38,8662/1669/1
708940.3222911694,2419200.0,0.293,8662/1669/1
548463.8994272077,2678400.0,0.205,8662/1669/1
321049.01083532214,2592000.0,0.124,8662/1669/1
168584.37207637232,2678400.0,0.063,8662/1669/1
11568.825966587112,2592000.0,0.004,8662/1669/1
9029.45985680191,2678400.0,0.003,8662/1669/1
10373.428353221958,2678400.0,0.004,8662/1669/1
120241.01513126491,2592000.0,0.046,8662/1669/1
338724.4557995227,2678400.0,0.126,8662/1669/1
669918.8332696897,2592000.0,0.258,8662/1669/1
811706.9631980906,2678400.0,0.303,8662/1669/1
