space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
1150708.7740811459,2678400.0,0.43,8662/1666/5
801846.1430548925,2419200.0,0.331,8662/1666/5
584963.478902148,2678400.0,0.218,8662/1666/5
348218.8002386635,2592000.0,0.134,8662/1666/5
146471.46357995228,2678400.0,0.055,8662/1666/5
7414.50415274463,2592000.0,0.003,8662/1666/5
5358.596563245824,2678400.0,0.002,8662/1666/5
8223.850739856804,2678400.0,0.003,8662/1666/5
111024.13918854416,2592000.0,0.043,8662/1666/5
314753.5671121719,2678400.0,0.118,8662/1666/5
737479.1160859189,2592000.0,0.285,8662/1666/5
895907.1720286396,2678400.0,0.334,8662/1666/5
