space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
872702.8088305488,2678400.0,0.326,8662/1575/7
604200.8203818615,2419200.0,0.25,8662/1575/7
489916.0336038186,2678400.0,0.183,8662/1575/7
295095.19575178996,2592000.0,0.114,8662/1575/7
209618.83675417656,2678400.0,0.078,8662/1575/7
11687.075656324583,2592000.0,0.005,8662/1575/7
9196.215465393796,2678400.0,0.003,8662/1575/7
24085.351933174225,2678400.0,0.009,8662/1575/7
148225.18124105013,2592000.0,0.057,8662/1575/7
318204.3990930788,2678400.0,0.119,8662/1575/7
591640.1703579952,2592000.0,0.228,8662/1575/7
709931.5870167065,2678400.0,0.265,8662/1575/7
