space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
183516.63766109786,2678400.0,0.069,8662/1573/7
128230.97498806682,2419200.0,0.053,8662/1573/7
93759.11355608593,2678400.0,0.035,8662/1573/7
58377.36114558473,2592000.0,0.023,8662/1573/7
46511.15627684964,2678400.0,0.017,8662/1573/7
4616.850501193317,2592000.0,0.002,8662/1573/7
4123.8472553699285,2678400.0,0.002,8662/1573/7
6373.083866348449,2678400.0,0.002,8662/1573/7
31917.66014319809,2592000.0,0.012,8662/1573/7
64073.51183770883,2678400.0,0.024,8662/1573/7
125722.10663484487,2592000.0,0.049,8662/1573/7
149709.16696897376,2678400.0,0.056,8662/1573/7
