space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
401084.95875894994,2678400.0,0.15,8662/1578/18
282512.6106443914,2419200.0,0.117,8662/1578/18
222614.3324105012,2678400.0,0.083,8662/1578/18
126973.44386634845,2592000.0,0.049,8662/1578/18
83521.93918854416,2678400.0,0.031,8662/1578/18
5341.1180906921245,2592000.0,0.002,8662/1578/18
7401.473269689737,2678400.0,0.003,8662/1578/18
7598.2716945107395,2678400.0,0.003,8662/1578/18
61497.890978520285,2592000.0,0.024,8662/1578/18
148677.21150357995,2678400.0,0.056,8662/1578/18
260914.38400954657,2592000.0,0.101,8662/1578/18
334224.0274940334,2678400.0,0.125,8662/1578/18
