space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
1275727.2852028639,2678400.0,0.476,8662/1576/4
898266.8122195704,2419200.0,0.371,8662/1576/4
675671.5989021481,2678400.0,0.252,8662/1576/4
398962.6066825775,2592000.0,0.154,8662/1576/4
218418.30042959427,2678400.0,0.082,8662/1576/4
9012.373174224344,2592000.0,0.003,8662/1576/4
12176.11460620525,2678400.0,0.005,8662/1576/4
15137.224582338902,2678400.0,0.006,8662/1576/4
155919.87708830548,2592000.0,0.06,8662/1576/4
396379.07785202865,2678400.0,0.148,8662/1576/4
838705.383150358,2592000.0,0.324,8662/1576/4
1011716.2099761337,2678400.0,0.378,8662/1576/4
