space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
371495.9139379475,2678400.0,0.139,8662/1671/1
248713.4538902148,2419200.0,0.103,8662/1671/1
189363.43288782815,2678400.0,0.071,8662/1671/1
114418.35880668258,2592000.0,0.044,8662/1671/1
87307.3907398568,2678400.0,0.033,8662/1671/1
1301.2105489260143,2592000.0,0.001,8662/1671/1
3167.8578042959425,2678400.0,0.001,8662/1671/1
2415.530835322196,2678400.0,0.001,8662/1671/1
48204.18773269689,2592000.0,0.019,8662/1671/1
107337.57465393795,2678400.0,0.04,8662/1671/1
240285.33751789975,2592000.0,0.093,8662/1671/1
284654.28673031024,2678400.0,0.106,8662/1671/1
