space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
420551.39169451076,2678400.0,0.157,8662/1672/2
416497.343627685,2419200.0,0.172,8662/1672/2
352183.9725536993,2678400.0,0.131,8662/1672/2
247079.4925059666,2592000.0,0.095,8662/1672/2
118314.34539379475,2678400.0,0.044,8662/1672/2
6844.600525059666,2592000.0,0.003,8662/1672/2
6206.96491646778,2678400.0,0.002,8662/1672/2
5183.47031026253,2678400.0,0.002,8662/1672/2
84080.09556085919,2592000.0,0.032,8662/1672/2
224776.8983770883,2678400.0,0.084,8662/1672/2
298057.5249164678,2592000.0,0.115,8662/1672/2
415461.67260143196,2678400.0,0.155,8662/1672/2
