space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
273527.8663961814,2678400.0,0.102,8662/1578/6
193421.73909307877,2419200.0,0.08,8662/1578/6
147583.6303102625,2678400.0,0.055,8662/1578/6
94813.4229594272,2592000.0,0.037,8662/1578/6
66504.16267303102,2678400.0,0.025,8662/1578/6
2072.2416229116943,2592000.0,0.001,8662/1578/6
3588.8180906921243,2678400.0,0.001,8662/1578/6
2697.769116945107,2678400.0,0.001,8662/1578/6
39501.583818615756,2592000.0,0.015,8662/1578/6
92295.58725536993,2678400.0,0.034,8662/1578/6
181972.15904534605,2592000.0,0.07,8662/1578/6
216191.2811455847,2678400.0,0.081,8662/1578/6
