space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
397151.0561813843,2678400.0,0.148,8662/1666/3
274081.86257756565,2419200.0,0.113,8662/1666/3
206683.89035799523,2678400.0,0.077,8662/1666/3
134309.2459188544,2592000.0,0.052,8662/1666/3
95038.80916467782,2678400.0,0.035,8662/1666/3
9283.435131264916,2592000.0,0.004,8662/1666/3
5878.865298329355,2678400.0,0.002,8662/1666/3
8482.597088305489,2678400.0,0.003,8662/1666/3
64975.67656324583,2592000.0,0.025,8662/1666/3
138571.87961813842,2678400.0,0.052,8662/1666/3
264507.43188544153,2592000.0,0.102,8662/1666/3
317453.80940334126,2678400.0,0.119,8662/1666/3
