space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
828242.7091646778,2678400.0,0.309,8662/1578/16
601861.9978997613,2419200.0,0.249,8662/1578/16
465594.01474940334,2678400.0,0.174,8662/1578/16
275656.37498806685,2592000.0,0.106,8662/1578/16
162623.0710739857,2678400.0,0.061,8662/1578/16
14859.500906921241,2592000.0,0.006,8662/1578/16
9272.615799522673,2678400.0,0.003,8662/1578/16
16293.825966587112,2678400.0,0.006,8662/1578/16
136689.83656324586,2592000.0,0.053,8662/1578/16
308465.7658711218,2678400.0,0.115,8662/1578/16
553738.9429116944,2592000.0,0.214,8662/1578/16
684755.6412887827,2678400.0,0.256,8662/1578/16
