space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
1048984.4775178998,2678400.0,0.392,8662/1665/0
736757.0858233889,2419200.0,0.305,8662/1665/0
551737.1165155132,2678400.0,0.206,8662/1665/0
331741.5637231503,2592000.0,0.128,8662/1665/0
165388.20357995224,2678400.0,0.062,8662/1665/0
10847.67723150358,2592000.0,0.004,8662/1665/0
9542.761431980909,2678400.0,0.004,8662/1665/0
11467.458042959428,2678400.0,0.004,8662/1665/0
116305.05050119331,2592000.0,0.045,8662/1665/0
326848.0167064439,2678400.0,0.122,8662/1665/0
679715.3521718376,2592000.0,0.262,8662/1665/0
831889.8060143198,2678400.0,0.311,8662/1665/0
