space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
1088939.1419570406,2678400.0,0.407,8662/1578/27
769411.4039140812,2419200.0,0.318,8662/1578/27
588184.64849642,2678400.0,0.22,8662/1578/27
330784.700477327,2592000.0,0.128,8662/1578/27
136577.58229116947,2678400.0,0.051,8662/1578/27
10382.390548926014,2592000.0,0.004,8662/1578/27
6187.711789976133,2678400.0,0.002,8662/1578/27
11426.527589498806,2678400.0,0.004,8662/1578/27
104460.0538424821,2592000.0,0.04,8662/1578/27
345515.56668257754,2678400.0,0.129,8662/1578/27
695426.7849164677,2592000.0,0.268,8662/1578/27
862519.0274463007,2678400.0,0.322,8662/1578/27
