space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
304036.3108353222,2678400.0,0.114,8662/1575/9
209956.43212410502,2419200.0,0.087,8662/1575/9
160497.93651551314,2678400.0,0.06,8662/1575/9
102369.74735083533,2592000.0,0.039,8662/1575/9
65372.432219570415,2678400.0,0.024,8662/1575/9
792.1129832935561,2592000.0,0.0,8662/1575/9
1687.984582338902,2678400.0,0.001,8662/1575/9
1469.8993317422435,2678400.0,0.001,8662/1575/9
39081.014033412896,2592000.0,0.015,8662/1575/9
97437.22625298328,2678400.0,0.036,8662/1575/9
198994.7388544153,2592000.0,0.077,8662/1575/9
236640.73575178997,2678400.0,0.088,8662/1575/9
