space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
529649.4887828163,2678400.0,0.198,8662/1658/3
408537.9446778043,2419200.0,0.169,8662/1658/3
340999.9552267303,2678400.0,0.127,8662/1658/3
215581.36596658712,2592000.0,0.083,8662/1658/3
129722.7462529833,2678400.0,0.048,8662/1658/3
4010.641861575179,2592000.0,0.002,8662/1658/3
5811.570214797136,2678400.0,0.002,8662/1658/3
7296.711980906921,2678400.0,0.003,8662/1658/3
91590.47097852029,2592000.0,0.035,8662/1658/3
205832.57455847255,2678400.0,0.077,8662/1658/3
339164.4114558473,2592000.0,0.131,8662/1658/3
462183.04095465393,2678400.0,0.173,8662/1658/3
