space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
1226464.6008114559,2678400.0,0.458,8662/1672/1
863920.8274940334,2419200.0,0.357,8662/1672/1
678386.9483054893,2678400.0,0.253,8662/1672/1
408697.7949880668,2592000.0,0.158,8662/1672/1
276722.16229116946,2678400.0,0.103,8662/1672/1
26798.532315035798,2592000.0,0.01,8662/1672/1
19844.31952267303,2678400.0,0.007,8662/1672/1
29177.533890214792,2678400.0,0.011,8662/1672/1
194017.55627684967,2592000.0,0.075,8662/1672/1
425472.4013842482,2678400.0,0.159,8662/1672/1
838795.3711217184,2592000.0,0.324,8662/1672/1
997653.7954653938,2678400.0,0.372,8662/1672/1
