space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
274748.45584725536,2678400.0,0.103,8662/1578/7
192440.4508353222,2419200.0,0.08,8662/1578/7
149783.91121718375,2678400.0,0.056,8662/1578/7
93262.7878281623,2592000.0,0.036,8662/1578/7
69780.9999522673,2678400.0,0.026,8662/1578/7
6293.770883054893,2592000.0,0.002,8662/1578/7
4664.580572792363,2678400.0,0.002,8662/1578/7
7405.465918854416,2678400.0,0.003,8662/1578/7
45591.138042959436,2592000.0,0.018,8662/1578/7
102266.44367541766,2678400.0,0.038,8662/1578/7
184585.36983293557,2592000.0,0.071,8662/1578/7
223718.5782816229,2678400.0,0.084,8662/1578/7
