space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
1857361.4875417661,2678400.0,0.693,8662/1657/4
1332116.8303102623,2419200.0,0.551,8662/1657/4
992010.1472076372,2678400.0,0.37,8662/1657/4
565087.4553221957,2592000.0,0.218,8662/1657/4
288273.1295942721,2678400.0,0.108,8662/1657/4
13914.277947494033,2592000.0,0.005,8662/1657/4
12313.871312649164,2678400.0,0.005,8662/1657/4
15372.72386634845,2678400.0,0.006,8662/1657/4
193867.41178997615,2592000.0,0.075,8662/1657/4
586036.7282577566,2678400.0,0.219,8662/1657/4
1221026.3097852026,2592000.0,0.471,8662/1657/4
1491892.9917422435,2678400.0,0.557,8662/1657/4
