space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
378618.27293556085,2678400.0,0.141,8662/1660/1
257658.29484486874,2419200.0,0.107,8662/1660/1
193773.8964200477,2678400.0,0.072,8662/1660/1
123897.20047732697,2592000.0,0.048,8662/1660/1
100246.27403341288,2678400.0,0.037,8662/1660/1
2907.348400954654,2592000.0,0.001,8662/1660/1
4120.264439140811,2678400.0,0.002,8662/1660/1
4527.528830548926,2678400.0,0.002,8662/1660/1
52160.74711217184,2592000.0,0.02,8662/1660/1
118165.06696897374,2678400.0,0.044,8662/1660/1
247110.01603818615,2592000.0,0.095,8662/1660/1
289499.7028639618,2678400.0,0.108,8662/1660/1
