space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
437483.79279236274,2678400.0,0.163,8662/1666/6
318145.7233890214,2419200.0,0.132,8662/1666/6
246587.8463484487,2678400.0,0.092,8662/1666/6
156336.70038186156,2592000.0,0.06,8662/1666/6
108552.14033412885,2678400.0,0.041,8662/1666/6
13303.508305489264,2592000.0,0.005,8662/1666/6
5647.299379474941,2678400.0,0.002,8662/1666/6
9823.75861575179,2678400.0,0.004,8662/1666/6
73670.08897374701,2592000.0,0.028,8662/1666/6
165610.5753221957,2678400.0,0.062,8662/1666/6
300463.7533174224,2592000.0,0.116,8662/1666/6
356560.18281622906,2678400.0,0.133,8662/1666/6
