space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
776355.7111217183,2678400.0,0.29,8662/1578/10
539161.3928878282,2419200.0,0.223,8662/1578/10
393376.43169451074,2678400.0,0.147,8662/1578/10
239701.85398568018,2592000.0,0.092,8662/1578/10
130309.70047732697,2678400.0,0.049,8662/1578/10
9469.311121718378,2592000.0,0.004,8662/1578/10
2128.4828162291174,2678400.0,0.001,8662/1578/10
9050.746682577566,2678400.0,0.003,8662/1578/10
90673.44916467782,2592000.0,0.035,8662/1578/10
233841.41699284015,2678400.0,0.087,8662/1578/10
490080.4694033413,2592000.0,0.189,8662/1578/10
608009.0962768496,2678400.0,0.227,8662/1578/10
