space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
631582.8890692124,2678400.0,0.236,8662/1671/0
454755.6180429593,2419200.0,0.188,8662/1671/0
358869.82210023864,2678400.0,0.134,8662/1671/0
220340.13980906922,2592000.0,0.085,8662/1671/0
154884.13646778042,2678400.0,0.058,8662/1671/0
12040.405775656325,2592000.0,0.005,8662/1671/0
8054.957040572793,2678400.0,0.003,8662/1671/0
19775.455990453458,2678400.0,0.007,8662/1671/0
107933.05933174225,2592000.0,0.042,8662/1671/0
239818.60095465393,2678400.0,0.09,8662/1671/0
444828.7181384248,2592000.0,0.172,8662/1671/0
526648.1571837709,2678400.0,0.197,8662/1671/0
