space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
1243561.280477327,2678400.0,0.464,8662/1666/2
884329.3529355609,2419200.0,0.366,8662/1666/2
678785.8536515513,2678400.0,0.253,8662/1666/2
408066.1947494033,2592000.0,0.157,8662/1666/2
201002.63928400958,2678400.0,0.075,8662/1666/2
18191.869260143198,2592000.0,0.007,8662/1666/2
11995.889928400957,2678400.0,0.004,8662/1666/2
24078.48400954654,2678400.0,0.009,8662/1666/2
167685.90486873506,2592000.0,0.065,8662/1666/2
420924.04840095463,2678400.0,0.157,8662/1666/2
820505.8185680191,2592000.0,0.317,8662/1666/2
1003979.0474463007,2678400.0,0.375,8662/1666/2
