space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
375191.1906443914,2678400.0,0.14,8662/1664/3
403322.33341288776,2419200.0,0.167,8662/1664/3
379137.099522673,2678400.0,0.142,8662/1664/3
270375.79360381863,2592000.0,0.104,8662/1664/3
138222.73675417664,2678400.0,0.052,8662/1664/3
5002.991742243436,2592000.0,0.002,8662/1664/3
4494.32076372315,2678400.0,0.002,8662/1664/3
12046.76076372315,2678400.0,0.004,8662/1664/3
103546.03489260143,2592000.0,0.04,8662/1664/3
282932.0785202864,2678400.0,0.106,8662/1664/3
271672.092601432,2592000.0,0.105,8662/1664/3
362897.1073031027,2678400.0,0.135,8662/1664/3
