space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
349766.76114558475,2678400.0,0.131,8662/1573/12
236040.50835322196,2419200.0,0.098,8662/1573/12
165783.8534606205,2678400.0,0.062,8662/1573/12
94678.6678281623,2592000.0,0.037,8662/1573/12
83206.97484486873,2678400.0,0.031,8662/1573/12
4217.6861097852025,2592000.0,0.002,8662/1573/12
5661.568782816228,2678400.0,0.002,8662/1573/12
5621.454128878282,2678400.0,0.002,8662/1573/12
50396.58386634845,2592000.0,0.019,8662/1573/12
108753.22653937948,2678400.0,0.041,8662/1573/12
227065.6787112172,2592000.0,0.088,8662/1573/12
273274.35766109783,2678400.0,0.102,8662/1573/12
