space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
566096.7797613365,2678400.0,0.211,8662/1664/5
395063.1210501194,2419200.0,0.163,8662/1664/5
301104.9549880668,2678400.0,0.112,8662/1664/5
190766.24076372315,2592000.0,0.074,8662/1664/5
138329.0768019093,2678400.0,0.052,8662/1664/5
2114.0342720763724,2592000.0,0.001,8662/1664/5
4389.457661097852,2678400.0,0.002,8662/1664/5
4769.478472553698,2678400.0,0.002,8662/1664/5
74940.3893556086,2592000.0,0.029,8662/1664/5
180931.40505966588,2678400.0,0.068,8662/1664/5
376961.8235799523,2592000.0,0.145,8662/1664/5
441284.1800477327,2678400.0,0.165,8662/1664/5
