space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
90369.792601432,2678400.0,0.034,8662/1573/11
57668.13494033413,2419200.0,0.024,8662/1573/11
46483.12782816229,2678400.0,0.017,8662/1573/11
33637.16706443914,2592000.0,0.013,8662/1573/11
30963.797183770883,2678400.0,0.012,8662/1573/11
4328.614224343674,2592000.0,0.002,8662/1573/11
2601.6774701670643,2678400.0,0.001,8662/1573/11
4170.818233890215,2678400.0,0.002,8662/1573/11
18738.30673031026,2592000.0,0.007,8662/1573/11
30279.035942720762,2678400.0,0.011,8662/1573/11
53790.539284009545,2592000.0,0.021,8662/1573/11
65518.69489260143,2678400.0,0.024,8662/1573/11
