space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
1057593.2077804296,2678400.0,0.395,8662/1658/2
752572.3119809069,2419200.0,0.311,8662/1658/2
568470.4122673031,2678400.0,0.212,8662/1658/2
333836.3165155131,2592000.0,0.129,8662/1658/2
141577.96682577563,2678400.0,0.053,8662/1658/2
7107.728735083532,2592000.0,0.003,8662/1658/2
1545.316324582339,2678400.0,0.001,8662/1658/2
7818.368735083533,2678400.0,0.003,8662/1658/2
97999.06338902148,2592000.0,0.038,8662/1658/2
333652.7345584725,2678400.0,0.125,8662/1658/2
700964.9798090692,2592000.0,0.27,8662/1658/2
842548.3865871122,2678400.0,0.315,8662/1658/2
