space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
688404.6055847255,2678400.0,0.257,8662/1672/5
475372.8876372315,2419200.0,0.197,8662/1672/5
356939.4007159905,2678400.0,0.133,8662/1672/5
204527.6046300716,2592000.0,0.079,8662/1672/5
110884.73799522674,2678400.0,0.041,8662/1672/5
5304.188019093079,2592000.0,0.002,8662/1672/5
3553.071121718377,2678400.0,0.001,8662/1672/5
6589.282338902147,2678400.0,0.002,8662/1672/5
67760.79035799523,2592000.0,0.026,8662/1672/5
213779.4336515513,2678400.0,0.08,8662/1672/5
443131.42854415276,2592000.0,0.171,8662/1672/5
527949.4643914081,2678400.0,0.197,8662/1672/5
