space_heating_w,sample_interval,flow_rate_L_s,dfk_flurst
1399551.6011455848,2678400.0,0.523,8662/1581/4
991014.150071599,2419200.0,0.41,8662/1581/4
737970.0108830548,2678400.0,0.276,8662/1581/4
442600.0685441527,2592000.0,0.171,8662/1581/4
228187.65307875894,2678400.0,0.085,8662/1581/4
14950.934892601432,2592000.0,0.006,8662/1581/4
14871.853890214794,2678400.0,0.006,8662/1581/4
16273.161622911695,2678400.0,0.006,8662/1581/4
154850.00821002387,2592000.0,0.06,8662/1581/4
451500.5070644391,2678400.0,0.169,8662/1581/4
909979.6158472553,2592000.0,0.351,8662/1581/4
1111467.842720764,2678400.0,0.415,8662/1581/4
